make,model,price,fuel,year,kms,power,doors,shift,is_professional,province,link
HYUNDAI,I20,13490,Gasolina,2021,18158,100,5,Manual,True,Madrid,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i20-10-tgdi-klass-100-en-madrid.htm?id=6918159
HONDA,Jazz,12990,Gasolina,2017,71350,102,5,Manual,True,Madrid,https://www.coches.com/coches-segunda-mano/ocasion-honda-jazz-13-i-vtec-elegance-navi-en-madrid.htm?id=6881902
HYUNDAI,I20,11900,Gasolina,2018,72000,100,5,Automática,True,Madrid,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i20-14-mpi-link-aut-en-madrid.htm?id=6898324
VOLKSWAGEN,Golf,14490,Gasolina,2018,89000,115,5,Manual,True,Madrid,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-10-tsi-ready2go-85kw-en-madrid.htm?id=6881910
HYUNDAI,Ioniq,16490,Híbrido,2018,104738,141,5,Automática,True,Madrid,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-ioniq-hev-16-gdi-style-en-madrid.htm?id=6881906
SEAT,Ibiza,9900,Gasolina,2015,41500,95,3,Manual,True,Guadalajara,https://www.coches.com/coches-segunda-mano/ocasion-seat-ibiza-sc-10-ecotsi-s_s-reference-95-en-guadalajara.htm?id=6792692
BMW,Serie 3,20900,Diesel,2016,131702,190,5,Automática,True,Madrid,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+3-320da-gran-turismo-luxury-en-madrid.htm?id=6820077
SEAT,Arona,16900,Gasolina,2019,30838,95,5,Manual,True,"Palmas,",https://www.coches.com/coches-segunda-mano/ocasion-seat-arona-10-tsi-ecomotive-s_s-style-95-en-palmas+las.htm?id=6918157
MINI,Countryman,15900,Diesel,2014,104602,143,5,Manual,True,Madrid,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-mini--cooper-sd-all4-en-madrid.htm?id=6836879
CITROEN,C3,22200,Diesel,2022,0,120,5,Automática,True,Burgos,https://www.coches.com/km0/seminuevo-citroen-c3+aircross-bluehdi-s_s-shine-eat6-120-en-burgos.htm?id=6918155
MITSUBISHI,Outlander,15900,Diesel,2015,148690,150,5,Manual,True,Madrid,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-outlander-220di-d-motion-2wd-7pl-en-madrid.htm?id=6918153
SEAT,Arona,19999,Gasolina,2019,43500,115,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-seat-arona-10-tsi-ecomotive-s_s-style-115-en-malaga.htm?id=6918151
SKODA,Octavia,30900,Híbrido,2020,1510,204,5,Automática,True,Cantabria,https://www.coches.com/km0/seminuevo-skoda-octavia-14tsi-phev-style-dsg-en-cantabria.htm?id=6918149
VOLKSWAGEN,T-Roc,22500,Gasolina,2018,46535,150,5,Automática,True,Barcelona,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-t-roc-15-tsi-advance-dsg7-en-barcelona.htm?id=6758875
PEUGEOT,508,26990,Gasolina,2019,47000,180,5,Automática,True,Madrid,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-508-16-puretech-s_s-allure-eat8-180-en-madrid.htm?id=6918147
SKODA,Fabia,13100,Gasolina,2021,13300,95,5,Manual,True,Cantabria,https://www.coches.com/coches-segunda-mano/ocasion-skoda-fabia-10-tsi-ambition-plus-70kw-en-cantabria.htm?id=6918145
BMW,Serie 3,18300,Diesel,2016,93397,150,4,Manual,True,Pontevedra,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+3-318d-en-pontevedra.htm?id=6918143
SKODA,Fabia,11900,Gasolina,2019,40900,75,5,Manual,True,Cantabria,https://www.coches.com/coches-segunda-mano/ocasion-skoda-fabia-10-mpi-like-55kw-en-cantabria.htm?id=6918141
AUDI,Tt,36490,Gasolina,2015,51000,310,2,Automática,True,Madrid,https://www.coches.com/coches-segunda-mano/ocasion-audi-tt-s-coupe-20-tfsi-quattro-s-tronic-en-madrid.htm?id=6718974
ALFA ROMEO,Stelvio,30900,Diesel,2019,61000,190,5,Automática,True,Madrid,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-stelvio-22-executive-awd-190-aut-en-madrid.htm?id=6918139
SEAT,Ibiza,7500,Gasolina,2015,111900,70,5,Manual,True,Girona,https://www.coches.com/coches-segunda-mano/ocasion-seat-ibiza-12-reference-70-en-girona.htm?id=6918137
PEUGEOT,2008,12500,Diesel,2015,102000,115,5,Manual,True,Tarragona,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-2008-16-e-hdi-allure-115-en-tarragona.htm?id=6918099
SKODA,Kamiq,16900,Gasolina,2021,21560,95,5,Manual,True,Cantabria,https://www.coches.com/coches-segunda-mano/ocasion-skoda-kamiq-10-tsi-ambition-70kw-en-cantabria.htm?id=6918135
NISSAN,Micra,2900,Gasolina,2005,130000,80,5,Manual,True,Barcelona,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-12-visia-plus-en-barcelona.htm?id=6918133
VOLKSWAGEN,Golf,32990,Gasolina,2016,89000,265,5,Automática,True,Pontevedra,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-20-tsi-gti-clubsport-dsg-265-en-pontevedra.htm?id=6918129
FIAT,Dobló,15900,Diesel,2020,28000,95,3,Manual,True,Madrid,https://www.coches.com/coches-segunda-mano/ocasion-fiat-doblo-cargo-13mjt-sx-70kw-en-madrid.htm?id=6918127
KIA,Xceed,19990,Gasolina,2021,0,120,5,Manual,True,Avila,https://www.coches.com/km0/seminuevo-kia-xceed-10-t-gdi-eco-dynamics-drive-en-avila.htm?id=6527493
LAND ROVER,Range,49990,Diesel,2019,80000,240,5,Automática,True,Sevilla,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+velar-20d-s-4wd-aut-240-en-sevilla.htm?id=6918125
MERCEDES,Clase Glc,27990,Diesel,2016,183895,170,5,Automática,True,Albacete,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+glc-glc-220d-4matic-aut-en-albacete.htm?id=6918123
KIA,Sorento,15900,Diesel,2012,127000,197,5,Automática,True,Valencia,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-22-crdi-emotion-aut-en-valencia.htm?id=6918121
FORD,Mustang,48000,Gasolina,2020,15500,455,2,Automática,True,Madrid,https://www.coches.com/coches-segunda-mano/ocasion-ford-mustang-convertible-50-ti-vct-gt-aut-en-madrid.htm?id=6908248
KIA,Xceed,19790,Gasolina,2022,0,120,5,Manual,True,Avila,https://www.coches.com/km0/seminuevo-kia-xceed-10-t-gdi-eco-dynamics-drive-en-avila.htm?id=6685624
HONDA,Civic,5800,Gasolina,2007,249300,140,5,Manual,True,Madrid,https://www.coches.com/coches-segunda-mano/ocasion-honda-civic-18-i-vtec-sport-en-madrid.htm?id=6918119
RENAULT,Talisman,14990,Diesel,2018,164000,130,5,Manual,True,Salamanca,https://www.coches.com/coches-segunda-mano/ocasion-renault-talisman-st-16dci-energy-limited-96kw-en-salamanca.htm?id=6918117
AUDI,A3,5900,Diesel,2007,286600,140,3,Manual,True,Lugo,https://www.coches.com/coches-segunda-mano/ocasion-audi-a3-20tdi-ambition-en-lugo.htm?id=6918115
SEAT,León,25900,Gasolina,2022,0,150,5,Manual,True,Asturias,https://www.coches.com/km0/seminuevo-seat-leon-15-tsi-s_s-fr-150-en-asturias.htm?id=6918075
FIAT,Panda,8900,Diesel,2013,104700,75,5,Manual,True,Madrid,https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-13-mjt-climbing-4x4-e5+-en-madrid.htm?id=6918113
AUDI,Q3,34990,Gasolina,2021,11271,150,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-audi-q3-sportback-35-tfsi-black-line-en-palmas+las.htm?id=6918111
HYUNDAI,I10,8950,Gasolina,2017,58129,66,5,Manual,True,Huelva,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i10-10-klass-en-huelva.htm?id=6841396
BMW,I3,22900,Eléctrico,2018,48000,170,5,Automática,True,Madrid,https://www.coches.com/coches-segunda-mano/ocasion-bmw-i3-94ah-bev-en-madrid.htm?id=6914231
SEAT,León,22000,Gasolina,2018,57000,180,5,Manual,True,Barcelona,https://www.coches.com/coches-segunda-mano/ocasion-seat-leon-st-18-tsi-s_s-fr-180-en-barcelona.htm?id=6904688
MINI,Countryman,18900,Diesel,2016,44875,90,5,Manual,True,Huelva,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-mini--one-d-en-huelva.htm?id=6906224
OPEL,Corsa,12950,Gasolina,2018,78951,90,5,Manual,True,Huelva,https://www.coches.com/coches-segunda-mano/ocasion-opel-corsa-14-color-edition-90-475-en-huelva.htm?id=6878368
MERCEDES,Clase Cla,20390,Diesel,2018,133587,136,4,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cla-cla-200d-en-madrid.htm?id=6875404
PEUGEOT,308,24890,Diesel,2021,6072,130,5,Automática,True,Unkown,https://www.coches.com/km0/seminuevo-peugeot-308-15-bluehdi-s_s-gt-eat8-130-en-madrid.htm?id=6869072
SKODA,Karoq,25190,Gasolina,2021,0,150,5,Automática,True,Unkown,https://www.coches.com/km0/seminuevo-skoda-karoq-15-tsi-scout-act-dsg-en-madrid.htm?id=6054098
NISSAN,Juke,17590,Gasolina,2020,15354,114,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-nissan-juke-10-dig-t-n-connecta-4x2-114-en-madrid.htm?id=6889940
MAZDA,Mazda3,17390,Gasolina,2019,27314,122,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-mazda-mazda3-20-e-skyactiv-g-zenith-90kw-en-madrid.htm?id=6889942
OPEL,Insignia,17390,Gasolina,2019,117819,166,5,Automática,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-opel-insignia-15-t-xft-s_s-ultimate-aut-165-en-madrid.htm?id=6889938
MINI,Countryman,18990,Diesel,2016,37950,112,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-mini--cooper-d-en-madrid.htm?id=6881774
JAGUAR,F-Pace,37790,Diesel,2018,102700,240,5,Automática,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-f-pace-20i4d-portfolio-aut-awd-240-en-madrid.htm?id=6881772
KIA,Xceed,19790,Gasolina,2022,0,120,5,Manual,True,Avila,https://www.coches.com/km0/seminuevo-kia-xceed-10-t-gdi-eco-dynamics-drive-en-avila.htm?id=6811079
PEUGEOT,308,9990,Diesel,2018,146476,100,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-308-16-bluehdi-business-line-100-en-madrid.htm?id=6889956
FIAT,Tipo,8590,Diesel,2018,172231,120,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-fiat-tipo-16-multijet-ii-business-en-madrid.htm?id=6889950
AUDI,Q3,20390,Diesel,2018,106362,120,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-audi-q3-20tdi-sport-edition-88kw-en-madrid.htm?id=6889948
PEUGEOT,308,13390,Diesel,2018,105766,130,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-308-15bluehdi-s_s-allure-130-en-madrid.htm?id=6889946
RENAULT,Clio,8990,Diesel,2017,156069,75,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-sport-tourer-15dci-energy-limited-55kw-en-madrid.htm?id=6889944
NISSAN,X-Trail,14790,Diesel,2016,160676,130,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-nissan-x-trail-16-dci-acenta-4x4-i-en-madrid.htm?id=6889966
FORD,C-Max,10890,Diesel,2018,157394,120,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-ford-c-max-15tdci-trend+-120-en-madrid.htm?id=6889968
KIA,Xceed,19890,Diesel,2020,52854,115,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-kia-xceed-16-crdi-eco-dynamics-emotion-115-en-madrid.htm?id=6889964
VOLKSWAGEN,Tiguan,22190,Diesel,2018,73619,115,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-tiguan-20tdi-advance-85kw-en-madrid.htm?id=6889962
RENAULT,Captur,12590,Diesel,2019,61458,90,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-renault-captur-15dci-limited-66kw-en-madrid.htm?id=6889958
VOLKSWAGEN,Polo,12890,Diesel,2018,43406,80,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-polo-16tdi-edition-59kw-en-madrid.htm?id=6889980
PEUGEOT,3008,17390,Diesel,2019,105727,130,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-3008-15bluehdi-allure-s_s-130-en-madrid.htm?id=6889978
PEUGEOT,5008,23590,Diesel,2018,82279,180,5,Automática,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-5008-20bluehdi-s_s-gt-eat8-180-en-madrid.htm?id=6889976
FORD,Focus,10890,Diesel,2017,113774,120,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-15tdci-trend+-120-en-madrid.htm?id=6889970
TOYOTA,Yaris,15390,Híbrido,2020,29898,100,5,Automática,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-toyota-yaris-100h-15-feel-en-madrid.htm?id=6889994
HONDA,Civic,12690,Gasolina,2014,97597,142,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-honda-civic-18-i-vtec-sport-navi-pack1-en-madrid.htm?id=6889992
PEUGEOT,3008,18990,Gasolina,2019,63951,130,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-3008-12-s_s-puretech-allure-130-en-madrid.htm?id=6889990
FORD,Kuga,14290,Diesel,2017,162346,150,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-ford-kuga-20tdci-auto-s_s-titanium-4x2-150-en-madrid.htm?id=6889986
MERCEDES,Clase C,21790,Diesel,2016,69498,170,5,Automática,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+c-c-estate-220d-7g-plus-en-madrid.htm?id=6889984
SKODA,Octavia,10190,Diesel,2017,156239,115,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-skoda-octavia-16tdi-cr-ambition-en-madrid.htm?id=6889982
VOLKSWAGEN,T-Cross,22400,Gasolina,2020,24050,110,5,Automática,True,Barcelona,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-t-cross-10-tsi-advance-dsg7-81kw-en-barcelona.htm?id=6765621
NISSAN,Qashqai,12790,Diesel,2017,159914,110,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-15dci-acenta-4x2-en-madrid.htm?id=6890018
PEUGEOT,208,7290,Diesel,2017,143288,75,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-208-16bluehdi-access-75-en-madrid.htm?id=6890014
CITROEN,C4,7990,Diesel,2016,168559,99,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4-16bluehdi-live-edition-100-en-madrid.htm?id=6890006
FORD,Focus,16590,Gasolina,2018,81893,125,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-sportbreak-10-ecoboost-st-line-en-madrid.htm?id=6890000
BMW,Serie 1,21890,Gasolina,2014,151457,320,5,Automática,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+1-m135ia-xdrive-en-madrid.htm?id=6889998
PEUGEOT,308,10590,Diesel,2017,129025,120,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-308-16-bluehdi-style-120-en-madrid.htm?id=6890030
MINI,Countryman,12890,Diesel,2012,99309,90,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-mini--one-d-en-madrid.htm?id=6890028
PEUGEOT,2008,12790,Gasolina,2016,82183,130,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-2008-12-puretech-s_s-gt-line-130-en-madrid.htm?id=6890026
FORD,Tourneo,11190,Diesel,2017,93080,95,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-ford-tourneo+courier-15tdci-titanium-95-en-madrid.htm?id=6890024
AUDI,Q3,18990,Diesel,2016,83835,150,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-audi-q3-20tdi-sport-edition-110kw-en-madrid.htm?id=6890042
HONDA,Civic,16990,Diesel,2018,51687,120,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-honda-civic-16-i-dtec-elegance-navi-en-madrid.htm?id=6890046
VOLKSWAGEN,Passat,13590,Gasolina,2013,39953,122,4,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-passat-14-tsi-edition-en-madrid.htm?id=6890044
HYUNDAI,I20,9390,Gasolina,2015,60178,85,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i20-12-klass-en-madrid.htm?id=6890040
HYUNDAI,I20,10490,Gasolina,2015,67396,100,5,Automática,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i20-14-klass-aut-en-madrid.htm?id=6890032
SEAT,Ibiza,12590,Gasolina,2020,40852,90,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-seat-ibiza-10-tgi-s_s-fr-90-en-madrid.htm?id=6890066
VOLKSWAGEN,Polo,13590,Diesel,2015,69552,105,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-polo-14-tdi-bmt-sport-77kw-en-madrid.htm?id=6890062
PEUGEOT,208,16490,Gasolina,2020,27480,100,5,Automática,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-208-12-puretech-s_s-allure-eat8-100-en-madrid.htm?id=6890060
OPEL,Astra,12290,Diesel,2018,128686,136,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-opel-astra-st-16cdti-ss-dynamic-136-en-madrid.htm?id=6890056
VOLKSWAGEN,Passat,17390,Gasolina,2019,115484,150,4,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-passat-15-tsi-act-advance-110kw-en-madrid.htm?id=6890054
LEXUS,Es,30290,Híbrido,2022,41211,218,4,Automática,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-lexus-es-300h-eco-en-madrid.htm?id=6890076
SEAT,León,17590,Gasolina,2019,50046,150,5,Automática,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-seat-leon-14-tsi-act-s_s-fr-dsg-150-en-madrid.htm?id=6890904
RENAULT,Mégane,12290,Diesel,2017,98350,110,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-15dci-energy-zen-81kw-en-madrid.htm?id=6890562
KIA,Sportage,23290,Diesel,2021,25022,136,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-mhev-gt-line-essential-4x2-136-en-madrid.htm?id=6890078
TOYOTA,Corolla,19890,Híbrido,2020,32577,122,5,Automática,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-toyota-corolla-125h-business-en-madrid.htm?id=6890070
PEUGEOT,Partner,8790,Diesel,2016,166696,90,3,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-partner-furgon-16hdi-confort-l1-90-en-madrid.htm?id=6891006
MERCEDES,Clase C,23690,Gasolina,2015,106132,211,4,Automática,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+c-c-250-7g-plus-en-madrid.htm?id=6891002
RENAULT,Mégane,13990,Diesel,2018,88819,110,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-15dci-energy-zen-81kw-en-madrid.htm?id=6891000
VOLKSWAGEN,Passat,20290,Diesel,2016,152535,240,4,Automática,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-passat-20tdi-bit-sport-4m-dsg-176kw-en-madrid.htm?id=6890916
ALFA ROMEO,Stelvio,30690,Diesel,2019,58625,190,5,Automática,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-stelvio-22-super-rwd-190-aut-en-madrid.htm?id=6890908
PEUGEOT,208,22690,Eléctrico,2020,45579,136,5,"Directo,",True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-208-gt-electrico-100kw-en-madrid.htm?id=6891180
SEAT,Mii,8990,Gasolina,2018,43672,68,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-seat-mii-10-ecofuel-gnc-s_s-style-68-en-madrid.htm?id=6891164
DACIA,Dokker,10790,Diesel,2022,122048,95,4,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-dacia-dokker-van-15blue-dci-essential-70kw-en-madrid.htm?id=6891158
VOLVO,V60,18490,Híbrido,2015,190475,283,5,Automática,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v60-d6-plug-in-hybrid-awd-aut-en-madrid.htm?id=6891056
MERCEDES,Citan,17970,Diesel,2017,61718,90,5,Manual,True,Valencia,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-citan-tourer-109cdi-select-en-valencia.htm?id=6683608
CITROEN,Berlingo,15970,Diesel,2017,167184,100,4,Manual,True,Valencia,https://www.coches.com/coches-segunda-mano/ocasion-citroen-berlingo-multispace-mixto-16bluehdi-largo-100-en-valencia.htm?id=6685620
TOYOTA,Aygo,11970,Gasolina,2019,45250,72,5,Manual,True,Valencia,https://www.coches.com/coches-segunda-mano/ocasion-toyota-aygo-70-x-play-en-valencia.htm?id=6674802
FORD,Tourneo,14970,Diesel,2015,97722,75,5,Manual,True,Valencia,https://www.coches.com/coches-segunda-mano/ocasion-ford-tourneo+courier-15tdci-trend-75-en-valencia.htm?id=6053786
MINI,Mini,15970,Diesel,2017,83788,95,3,Manual,True,Valencia,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-one-d-en-valencia.htm?id=5977017
SKODA,Fabia,12970,Gasolina,2019,63371,75,5,Manual,True,Valencia,https://www.coches.com/coches-segunda-mano/ocasion-skoda-fabia-10-mpi-like-55kw-en-valencia.htm?id=6741909
LAND ROVER,Discovery,27970,Diesel,2017,78570,150,5,Automática,True,Valencia,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery+sport-20td4-se-4x4-aut-150-en-valencia.htm?id=6692210
MINI,Mini,21970,Gasolina,2019,28363,136,3,Automática,True,Valencia,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cooper-aut-en-valencia.htm?id=6657280
DACIA,Sandero,13970,Gasolina,2019,46694,90,5,Manual,True,Valencia,https://www.coches.com/coches-segunda-mano/ocasion-dacia-sandero-09-tce-glp-stepway-66kw-en-valencia.htm?id=6656252
CITROEN,C3,13970,Gasolina,2018,62817,82,5,Manual,True,Valencia,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c3-12-puretech-glp-feel-82-en-valencia.htm?id=6653036
VOLKSWAGEN,Polo,9970,Gasolina,2015,149236,75,5,Manual,True,Valencia,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-polo-10-bmt-advance-55kw-en-valencia.htm?id=6768556
DACIA,Sandero,14970,Gasolina,2020,6585,90,5,Manual,True,Valencia,https://www.coches.com/km0/seminuevo-dacia-sandero-09-tce-stepway-comfort-66kw-en-valencia.htm?id=6853558
SMART,Forfour,9970,Gasolina,2015,54232,90,5,Manual,True,Valencia,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-66-en-valencia.htm?id=6794906
CITROEN,Berlingo,27970,Diesel,2018,32463,100,5,Manual,True,Valencia,https://www.coches.com/coches-segunda-mano/ocasion-citroen-berlingo-multispace-16bluehdi-feel-100-en-valencia.htm?id=6761222
AUDI,A1,16970,Gasolina,2016,54512,95,5,Manual,True,Valencia,https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-sportback-10-tfsi-attracted-en-valencia.htm?id=6749659
AUDI,A3,21500,Diesel,2017,48000,116,3,Manual,True,Salamanca,https://www.coches.com/coches-segunda-mano/ocasion-audi-a3-16tdi-design-edition-85kw-en-salamanca.htm?id=6918109
