make,model,price,fuel,year,kms,power,doors,shift,is_professional,province
VOLKSWAGEN,Golf,11300,Diésel,2016.0,77867,110.0,5,Manual,True,Barcelona
RENAULT,Clio,9500,Gasolina,2018.0,43543,75.0,5,Manual,True,Barcelona
PEUGEOT,1007,4200,Gasolina,2007.0,118000,110.0,3,Manual,True,Baleares
PEUGEOT,Rifter,26995,Diésel,2021.0,1,130.0,5,Manual,True,Zaragoza
VOLKSWAGEN,Golf Sportsvan,14900,Diésel,2016.0,155000,115.0,5,Manual,True,León
OPEL,Crossland X,19150,Gasolina,2019.0,13871,81.0,5,Manual,True,A Coruña
SEAT,León,10500,Diésel,2016.0,127000,110.0,5,Manual,True,Cantabria
MERCEDES-BENZ,Clase A,29700,Diésel,2019.0,14743,,5,Automático,True,Lugo
SEAT,León,26400,Diésel,2020.0,50,150.0,5,Automático,True,Toledo
NISSAN,NOTE,7900,Gasolina,2015.0,54200,80.0,5,Manual,False,Pontevedra
CITROEN,C5,5000,Diésel,2007.0,315000,,5,Automático,False,Madrid
MERCEDES-BENZ,Clase B,13500,Diésel,2014.0,104000,109.0,5,Automático,True,Alicante
MERCEDES-BENZ,Clase E,23900,Diésel,2016.0,150276,194.0,4,Automático,True,Vizcaya
OPEL,Astra,1100,Diésel,2002.0,420000,,5,Manual,False,A Coruña
DACIA,Duster,8399,Gasolina,2014.0,88056,125.0,5,Manual,True,Sevilla
RENAULT,Mégane,10499,Diésel,2017.0,47396,90.0,5,Manual,True,Sevilla
VOLKSWAGEN,CC,17890,Diésel,2015.0,90000,140.0,4,Automático,True,Burgos
CITROEN,Xantia,2200,Diésel,2000.0,266000,,5,Manual,False,Lleida
MERCEDES-BENZ,Clase V,44097,Diésel,2019.0,24429,163.0,4,Automático,True,Madrid
RENAULT,Clio,10000,Gasolina,2008.0,180000,200.0,3,Manual,False,Burgos
VOLVO,XC60,18990,Diésel,2016.0,93000,150.0,5,Manual,True,Vizcaya
DACIA,Duster,8500,Diésel,2014.0,202100,109.0,5,Manual,True,Madrid
AUDI,A4,11900,Diésel,2014.0,165999,120.0,5,Manual,True,Málaga
PEUGEOT,5008,11900,Diésel,2015.0,86686,120.0,5,Manual,True,Sevilla
VOLKSWAGEN,Golf,4800,Diésel,2007.0,213000,,5,Manual,False,Almería
RENAULT,Clio,16190,Gasolina,2020.0,3239,100.0,5,Manual,True,Madrid
VOLKSWAGEN,Golf,7900,Diésel,2008.0,199000,,3,Manual,False,Madrid
MERCEDES-BENZ,GLC Coupé,49900,Diésel,2019.0,200,170.0,5,Automático,True,Badajoz
BMW,X3,25400,Diésel,2017.0,36000,190.0,5,Manual,True,Lleida
OPEL,Corsa,13100,Gasolina,2019.0,4553,100.0,5,Manual,True,Barcelona
VOLKSWAGEN,Golf,17990,Diésel,2013.0,159000,184.0,5,Automático,True,Madrid
HYUNDAI,i40,8400,Gasolina,2012.0,107000,135.0,4,Manual,True,Álava
BMW,i3,15500,Eléctrico,2016.0,49000,170.0,5,Automático,True,Madrid
FORD,Fiesta,9450,Gasolina,2018.0,37000,85.0,5,Manual,True,Valencia
PEUGEOT,406,800,Gasolina,1998.0,120000,135.0,4,Manual,False,Toledo
FORD,SMAX,5500,Diésel,2009.0,202000,140.0,5,Manual,True,Málaga
BMW,Serie 1,8499,Diésel,2013.0,259000,116.0,5,Manual,True,Madrid
BMW,Serie 2,48200,Gasolina,2017.0,8000,370.0,2,Automático,False,Madrid
NISSAN,JUKE,10990,Diésel,2015.0,102100,110.0,5,Manual,True,Valencia
FORD,Mondeo,1500,Diésel,2003.0,308000,,5,Manual,False,Madrid
JEEP,Renegade,16200,Gasolina,2018.0,45168,120.0,5,Manual,True,Valencia
CITROEN,C3,2199,Diésel,2007.0,90000,,5,Manual,False,Cádiz
VOLKSWAGEN,Passat,3400,Diésel,2006.0,272000,140.0,4,Manual,True,Madrid
SKODA,Octavia,17490,Gas natural (CNG),2019.0,18000,130.0,5,Automático,True,Madrid
NISSAN,QASHQAI,8500,Diésel,2009.0,146000,,5,Manual,False,Madrid
SUZUKI,Swift,21200,Gasolina,2020.0,10,129.0,5,Manual,True,La Rioja
OPEL,Antara,7000,Gasolina,2009.0,119000,140.0,5,Manual,False,Baleares
FIAT,Doblò Cargo,4550,Gas natural (CNG),2013.0,114000,120.0,3,Manual,False,Madrid
FORD,CMax,9999,Diésel,2005.0,250000,,5,Manual,False,Madrid
MERCEDES-BENZ,CLA,44600,Diésel,2021.0,0,150.0,4,Manual,True,Sevilla
BMW,Serie 5,37200,Diésel,2019.0,35760,190.0,4,Automático,True,Madrid
RENAULT,Mégane,5500,Diésel,2012.0,300000,110.0,5,Manual,True,Alicante
VOLKSWAGEN,Caddy,5700,Diésel,2008.0,250000,,5,Manual,False,Vizcaya
BMW,Serie 1,7480,Diésel,2007.0,90000,177.0,3,Manual,True,Barcelona
CITROEN,C4,12900,Diésel,2018.0,52700,99.0,5,Manual,True,Girona
JEEP,Grand Cherokee,8999,Diésel,2005.0,199000,218.0,5,Automático,True,Madrid
SEAT,Arona,19900,Diésel,2019.0,17788,115.0,5,Manual,True,Córdoba
SEAT,Ibiza,4500,Diésel,2007.0,86000,80.0,3,Manual,True,Asturias
LAND-ROVER,Discovery Sport,60190,Diésel,2019.0,0,150.0,5,Automático,True,Alicante
MERCEDES-BENZ,GLC Coupé,89250,Gasolina,2021.0,1,390.0,5,Automático,True,Valencia
KIA,Rio,2700,Gasolina,2006.0,115000,,5,Manual,False,Barcelona
JEEP,Renegade,20300,Gasolina,2020.0,1,120.0,5,Manual,True,Madrid
CHEVROLET,Cruze,8500,Gasolina,2013.0,120000,124.0,5,Manual,False,Sevilla
SSANGYONG,Rodius,16490,Diésel,2017.0,79900,178.0,5,Manual,True,Madrid
AUDI,A6,2000,Diésel,2002.0,325000,130.0,5,Manual,False,Badajoz
OPEL,Astra,3500,Gasolina,2006.0,229193,170.0,3,Manual,True,Toledo
RENAULT,Koleos,31600,Diésel,2020.0,1,150.0,5,Automático,True,Madrid
ABARTH,500,16875,Gasolina,2019.0,12000,145.0,3,Manual,True,Barcelona
MERCEDES-BENZ,Clase A,32000,Diésel,2020.0,20100,116.0,4,Automático,True,Madrid
OPEL,Vivaro,20900,Diésel,2018.0,61823,125.0,4,Manual,True,Alicante
VOLKSWAGEN,Golf,10490,Gasolina,2006.0,148252,200.0,5,Automático,True,Sevilla
BMW,Serie 5,16000,Diésel,2011.0,91000,184.0,4,Automático,False,Jaén
CITROEN,C3,17000,Diésel,2020.0,5,102.0,5,Manual,True,Cádiz
AUDI,Q3,32900,Diésel,2018.0,11700,150.0,5,Automático,True,Alicante
AUDI,TT,19500,Diésel,2014.0,210000,184.0,3,Manual,True,Alicante
BMW,X1,22900,Diésel,2017.0,70000,150.0,5,Automático,True,Ciudad Real
SMART,fortwo,14500,Eléctrico,2019.0,2000,82.0,3,Automático,True,Madrid
VOLKSWAGEN,Scirocco,19500,Diésel,2015.0,58000,150.0,3,Manual,False,Granada
RENAULT,Clio,6950,Gasolina,2003.0,194000,,3,Manual,False,Madrid
JAGUAR,Serie XJ,6490,Gasolina,2005.0,260556,298.0,4,Automático,True,Madrid
RENAULT,Grand Scénic,4300,Gasolina,2004.0,225,,5,Manual,False,Madrid
VOLKSWAGEN,Tiguan,17300,Diésel,2014.0,91473,140.0,5,Automático,True,Navarra
MERCEDES-BENZ,Clase M,14500,Diésel,2007.0,175000,224.0,5,Automático,False,Alicante
AUDI,A3,7490,Diésel,2012.0,220000,105.0,5,Manual,True,Madrid
MERCEDES-BENZ,Clase CLA,30000,Diésel,2018.0,14000,136.0,5,Manual,False,Madrid
OPEL,Astra,21400,Gasolina,2019.0,1,145.0,5,Manual,True,Barcelona
OPEL,Corsa,5200,Diésel,2013.0,158000,,5,Manual,False,Huelva
MERCEDES-BENZ,Clase CLK,4999,Gasolina,2002.0,160000,170.0,2,Automático,True,Alicante
BMW,Serie 1,4950,Gasolina,2005.0,94000,,5,Manual,False,Barcelona
OPEL,Zafira,5850,Diésel,2008.0,159000,120.0,5,Manual,True,Ávila
AUDI,A3,17350,Diésel,2016.0,57054,110.0,5,Manual,True,Tarragona
RENAULT,Modus,3500,Diésel,2007.0,140000,70.0,5,Manual,False,Madrid
OPEL,Combo,9900,Diésel,2016.0,58000,120.0,5,Automático,True,Girona
OPEL,Insignia,8300,Diésel,2016.0,173707,136.0,5,Manual,True,Zaragoza
PEUGEOT,2008,16800,Diésel,2018.0,29000,120.0,5,Manual,True,Orense
RENAULT,Mégane,2800,Diésel,2006.0,134000,130.0,5,Manual,False,Cádiz
SEAT,León,7900,Diésel,2016.0,156980,115.0,5,Manual,True,Asturias
DACIA,Duster,8990,Diésel,2014.0,119500,109.0,5,Manual,True,Málaga
VOLKSWAGEN,Transporter,16999,Diésel,2011.0,146000,102.0,4,Manual,True,Cádiz
PEUGEOT,308,10710,Diésel,2016.0,87100,120.0,5,Manual,True,Zaragoza
OPEL,Zafira,2800,Diésel,2007.0,250000,,5,Manual,False,Ciudad Real
MERCEDES-BENZ,Clase S,2700,Diésel,2002.0,386220,,4,Automático,False,Lugo
PEUGEOT,508 Hybrid,35375,Híbrido enchufable,2020.0,1,225.0,5,Automático,True,Toledo
TOYOTA,Yaris,10900,Gasolina,2020.0,12750,69.0,5,Manual,True,Barcelona
HONDA,Civic,9000,Gasolina,2002.0,238000,,3,Manual,False,Valencia
KIA,Rio,7500,Gasolina,2015.0,100000,84.0,5,Manual,False,Madrid
VOLKSWAGEN,Polo,14900,Gasolina,2019.0,19420,95.0,5,Manual,True,Girona
BMW,Serie 3,1200,Gasolina,1997.0,200000,,5,Manual,False,Badajoz
PEUGEOT,5008,33835,Diésel,2021.0,1,130.0,5,Manual,True,Valencia
OPEL,Astra,9750,Gasolina,2016.0,85000,125.0,5,Manual,False,Navarra
AUDI,Q2,21490,Gasolina,2017.0,79999,150.0,5,Manual,True,Valencia
AUDI,A5,10500,Diésel,2010.0,233000,,5,Manual,False,Sevilla
HONDA,Accord,7650,Diésel,2010.0,185700,150.0,5,Manual,True,Madrid
KIA,ceed,10900,Diésel,2016.0,54327,90.0,5,Manual,True,Córdoba
FIAT,Punto,2700,Diésel,2013.0,240000,95.0,5,Manual,False,Barcelona
FIAT,Tipo,12450,Diésel,2018.0,41844,120.0,5,Manual,True,Valencia
PEUGEOT,206,1000,Diésel,2000.0,200000,,3,Manual,False,Burgos
BMW,Serie 1,8800,Diésel,2009.0,219000,177.0,2,Manual,False,Valencia
VOLKSWAGEN,Polo,5500,Diésel,2009.0,107000,70.0,5,Manual,True,Murcia
VOLKSWAGEN,Touran,16900,Diésel,2017.0,88905,115.0,5,Automático,True,Murcia
VOLVO,S60,3333,Diésel,2002.0,400000,163.0,4,Manual,False,La Rioja
CITROEN,C4 Spacetourer,21900,Diésel,2018.0,13638,120.0,5,Manual,True,Barcelona
VOLKSWAGEN,Passat,3600,Diésel,2006.0,268000,,5,Manual,False,Segovia
BMW,Serie 5,8890,Diésel,2006.0,210973,272.0,4,Automático,True,Alicante
MERCEDES-BENZ,Clase B,15000,Diésel,2013.0,47000,109.0,5,Automático,False,Córdoba
BMW,Serie 5,28900,Diésel,2017.0,55962,190.0,4,Manual,True,Ávila
VOLKSWAGEN,Caddy,10910,Diésel,2016.0,80743,102.0,4,Manual,True,Madrid
FORD,Focus,2200,Diésel,2006.0,280000,115.0,3,Manual,True,Valencia
SEAT,León,13850,Gasolina,2019.0,74000,130.0,5,Manual,True,Valencia
CITROEN,Xsara Picasso,1500,Diésel,2006.0,283400,,5,Manual,False,Madrid
AUDI,Q7,59900,Diésel,2018.0,40000,272.0,5,Automático,True,Madrid
TOYOTA,Auris,12500,Híbrido,2016.0,85000,136.0,5,Automático,True,Madrid
FIAT,Doblò,6750,Diésel,2014.0,114563,90.0,5,Manual,False,Valencia
NISSAN,QASHQAI,20300,Diésel,2018.0,10000,130.0,5,Manual,True,Sevilla
CHEVROLET,Aveo,5490,Gasolina,2009.0,121300,101.0,4,Automático,True,Alicante
BMW,Serie 3,16950,Diésel,2015.0,85000,143.0,5,Manual,False,Girona
VOLVO,S40,3900,Diésel,2005.0,195000,109.0,4,Manual,True,Madrid
MERCEDES-BENZ,Clase R,11500,Diésel,2011.0,189000,,5,Automático,False,Sevilla
SEAT,Ibiza,2500,Diésel,2007.0,206000,70.0,5,Manual,False,Barcelona
VOLKSWAGEN,Golf,2900,Gasolina,2000.0,136000,105.0,3,Manual,True,Barcelona
PEUGEOT,208,10600,Diésel,2017.0,91616,75.0,5,Manual,True,Pontevedra
MERCEDES-BENZ,Clase E,4800,Diésel,2003.0,280000,,5,Automático,False,Málaga
SSANGYONG,Korando,22800,Gasolina,2020.0,20,163.0,5,Manual,True,León
VOLKSWAGEN,Scirocco,18500,Gasolina,2017.0,70000,125.0,3,Manual,False,Madrid
SEAT,León,7290,Gasolina,2015.0,44000,110.0,5,Manual,True,Las Palmas
HYUNDAI,Santa Fe,5499,Diésel,2008.0,159999,155.0,5,Manual,True,Barcelona
SEAT,Altea XL,7800,Diésel,2013.0,152000,,5,Manual,False,Sevilla
KIA,ceed,7900,Diésel,2015.0,169000,90.0,5,Manual,True,A Coruña
VOLKSWAGEN,Golf,15990,Gasolina,2018.0,82000,115.0,5,Manual,True,Madrid
FORD,Escort,800,Diésel,1998.0,170000,,5,Manual,False,Cáceres
HYUNDAI,TUCSON,25750,Diésel,2020.0,18,116.0,5,Manual,True,Alicante
OPEL,Mokka X,16900,Gasolina,2019.0,57000,140.0,5,Manual,True,Málaga
VOLKSWAGEN,Golf,15400,Gasolina,2017.0,65000,125.0,5,Automático,True,Málaga
HONDA,Civic,2000,Diésel,2007.0,220000,140.0,5,Manual,False,Huelva
BMW,X3,19800,Diésel,2013.0,159000,177.0,5,Manual,False,Asturias
BMW,Serie 5,23990,Diésel,2013.0,109990,313.0,4,Automático,True,Valencia
PORSCHE,911,410000,Gasolina,2019.0,150,510.0,2,Manual,True,Girona
SEAT,Córdoba,500,Gasolina,2005.0,159000,75.0,4,Manual,False,Las Palmas
BMW,X6,55490,Diésel,2018.0,26391,258.0,5,Automático,True,Madrid
RENAULT,Grand Espace,3500,Diésel,2004.0,189000,,5,Automático,False,A Coruña
LAND-ROVER,Discovery,10000,Diésel,2008.0,240000,,5,Automático,False,Las Palmas
FORD,CMax,8500,Diésel,2016.0,160000,120.0,5,Manual,True,Cádiz
CITROEN,C5,2950,Gasolina,2006.0,136377,125.0,5,Manual,True,Madrid
AUDI,Q5,11900,Diésel,2009.0,196000,,5,Automático,False,Cuenca
FORD,Fiesta,5900,Diésel,2015.0,141000,95.0,5,Manual,False,Madrid
SUZUKI,Swift,3300,Gasolina,2008.0,123000,92.0,5,Manual,True,Jaén
CITROEN,Jumpy,16499,Diésel,2018.0,37000,115.0,4,Manual,True,Málaga
MITSUBISHI,ASX,6500,Diésel,2010.0,224000,,5,Manual,False,Cáceres
CITROEN,C5 Aircross,26750,Diésel,2021.0,0,131.0,5,Manual,True,Albacete
BMW,Serie 3,2500,Diésel,2001.0,283400,136.0,4,Manual,False,Guipúzcoa
FIAT,Ducato,18750,Diésel,2020.0,5,140.0,4,Manual,True,Asturias
FIAT,500,9500,Gasolina,2018.0,30000,69.0,3,Manual,True,Barcelona
FORD,Focus,2500,Diésel,2000.0,165000,,5,Manual,False,Valencia
AUDI,A1,11000,Diésel,2011.0,90000,90.0,3,Automático,True,Castellón
TOYOTA,Auris,11200,Híbrido,2014.0,84822,136.0,5,Automático,True,Barcelona
VOLKSWAGEN,Golf,12500,Diésel,2017.0,47000,110.0,5,Manual,False,Alicante
FORD,Focus CMAX,4700,Diésel,2005.0,190000,109.0,5,Manual,True,Valencia
PEUGEOT,206 +,3900,Diésel,2010.0,178000,70.0,5,Manual,True,Almería
BMW,Serie 4,29100,Diésel,2017.0,52550,190.0,2,Automático,True,Guadalajara
TOYOTA,Yaris,12500,Híbrido,2016.0,43987,100.0,5,Automático,True,Barcelona
SUZUKI,Jimny,25900,Gasolina,2020.0,8200,102.0,3,Manual,False,Asturias
PORSCHE,911,117999,Gasolina,2020.0,5999,385.0,2,Automático,True,Girona
NISSAN,QASHQAI,20900,Gasolina,2019.0,12000,140.0,5,Manual,True,Pontevedra
RENAULT,Clio,8990,Diésel,2017.0,127000,75.0,5,Manual,True,Madrid
JEEP,Renegade,37500,Híbrido enchufable,2020.0,100,190.0,5,Automático,True,Huesca
SEAT,Ateca,17900,Diésel,2018.0,72000,115.0,5,Manual,True,Teruel
RENAULT,Laguna,4000,Diésel,2009.0,210000,,5,Manual,False,Madrid
PEUGEOT,309,650,Gasolina,1991.0,307000,94.0,5,Manual,False,Madrid
FORD,CMax,2300,Diésel,2004.0,184000,,5,Manual,False,Valencia
VOLKSWAGEN,Touran,17299,Diésel,2017.0,54478,115.0,5,Automático,True,Barcelona
BMW,Z4,19950,Gasolina,2010.0,134000,204.0,2,Manual,False,La Rioja
FIAT,Ulysse,2500,Diésel,2003.0,293,,5,Manual,False,Valencia
OPEL,Grandland X,21990,Gasolina,2020.0,10,130.0,5,Manual,True,Vizcaya
MERCEDES-BENZ,Clase CLC,10800,Diésel,2008.0,84754,150.0,3,Manual,True,Navarra
FIAT,Ducato,10000,Diésel,2014.0,340000,148.0,4,Manual,False,Córdoba
NISSAN,QASHQAI,5500,Diésel,2009.0,200000,,5,Manual,False,Tenerife
SEAT,Ibiza,1200,Diésel,1998.0,224000,,5,Manual,False,Granada
HYUNDAI,i20,11100,Gasolina,2020.0,8984,75.0,5,Manual,True,Barcelona
VOLKSWAGEN,Touran,19500,Diésel,2016.0,90000,150.0,5,Manual,True,Lleida
FORD,Capri,9500,Gasolina,1982.0,153000,101.0,2,Manual,False,Navarra
PEUGEOT,508,25990,Diésel,2019.0,22200,130.0,5,Automático,True,Valladolid
BMW,X1,19850,Diésel,2016.0,72000,150.0,5,Automático,True,Barcelona
OPEL,Astra,1400,Diésel,2006.0,122765,,3,Manual,False,Cádiz
PORSCHE,911,83000,Gasolina,2011.0,86000,500.0,2,Automático,True,Vizcaya
FORD,Focus,9000,Diésel,2017.0,95000,120.0,5,Manual,True,Sevilla
VOLVO,V40,19900,Gasolina,2018.0,25961,122.0,5,Manual,True,Badajoz
RENAULT,Grand Scénic,10900,Diésel,2016.0,94000,110.0,5,Manual,True,Valencia
PEUGEOT,Boxer,21950,Diésel,2017.0,99950,163.0,2,Manual,True,Sevilla
AUDI,A1,14400,Diésel,2016.0,39611,90.0,3,Manual,True,Barcelona
AUDI,A5,11500,Gasolina,2009.0,185324,,2,Manual,False,Valencia
HYUNDAI,i30,19990,Gasolina,2019.0,20877,140.0,5,Automático,True,Madrid
CITROEN,C8,4800,Diésel,2005.0,170780,109.0,5,Automático,True,Málaga
VOLKSWAGEN,Caddy,6600,Diésel,2008.0,150000,75.0,4,Manual,True,Zaragoza
SAAB,93,5000,Diésel,2011.0,164,,5,Manual,False,Las Palmas
RENAULT,Kangoo Furgón,5900,Diésel,2015.0,140000,75.0,3,Manual,True,Valencia
MERCEDES-BENZ,Clase C,26900,Diésel,2016.0,57000,170.0,5,Automático,True,Barcelona
MERCEDES-BENZ,400,2650,Diésel,2003.0,245000,,5,Manual,False,Barcelona
BMW,Serie 2 Gran Tourer,16690,Diésel,2016.0,128000,150.0,5,Manual,True,Madrid
BMW,X5,22500,Diésel,2011.0,112752,245.0,5,Automático,True,Castellón
BMW,Serie 1,15990,Diésel,2016.0,84000,116.0,5,Manual,True,Madrid
CITROEN,C5 Aircross Hybrid,42461,Híbrido enchufable,2020.0,1,225.0,5,Automático,True,Tarragona
OPEL,Crossland X,19400,Diésel,2020.0,7,102.0,5,Manual,True,Sevilla
MERCEDES-BENZ,Clase C,2490,Diésel,1997.0,280000,150.0,5,Automático,True,Cantabria
CITROEN,C4 Picasso,10660,Gasolina,2015.0,102143,130.0,5,Manual,True,Vizcaya
FORD,Transit,3600,Diésel,2005.0,124000,,2,Manual,False,Valencia
RENAULT,Mégane,4600,Diésel,2010.0,202492,90.0,5,Manual,False,Tenerife
VOLKSWAGEN,California,10500,Diésel,1992.0,177000,,4,Manual,False,Sevilla
KIA,ceed Sportswagon,13000,Gasolina,2018.0,56000,120.0,5,Manual,False,Pontevedra
BMW,Serie 2 Gran Tourer,17000,Diésel,2017.0,117000,116.0,5,Automático,True,Madrid
PEUGEOT,307,1600,Gasolina,2005.0,140000,,5,Manual,False,Baleares
MERCEDES-BENZ,Clase GLC,67500,Diésel,2020.0,14382,245.0,5,Automático,True,Valencia
OPEL,Insignia,11560,Diésel,2017.0,58000,120.0,5,Manual,True,Valencia
CITROEN,C5 Aircross,26100,Diésel,2019.0,0,131.0,5,Manual,True,Madrid
AUDI,A4,25900,Diésel,2017.0,54000,150.0,5,Automático,True,Castellón
AUDI,Q5,39900,Diésel,2019.0,20000,163.0,5,Automático,True,Asturias
FORD,Mondeo,6500,Diésel,2007.0,46173,130.0,5,Manual,False,Barcelona
CITROEN,C5,7000,Diésel,2012.0,132000,,4,Manual,False,Madrid
HYUNDAI,i30,21700,Gasolina,2019.0,5400,140.0,5,Manual,True,Valencia
CITROEN,C4 Picasso,6000,Diésel,2011.0,76214,150.0,5,Automático,True,Badajoz
RENAULT,Kadjar,17490,Diésel,2017.0,37200,130.0,5,Manual,True,Madrid
OPEL,Astra,750,Gasolina,2001.0,218000,,5,Manual,False,Vizcaya
VOLKSWAGEN,Golf,15999,Gasolina,2011.0,163759,210.0,5,Automático,True,Granada
AUDI,A4,6900,Gasolina,2006.0,139000,130.0,4,Manual,True,Salamanca
NISSAN,PULSAR,9500,Diésel,2015.0,27000,110.0,5,Manual,False,Barcelona
FORD,CMax,16500,Diésel,2019.0,16500,120.0,5,Manual,True,Madrid
FIAT,Doblò,10300,Diésel,2017.0,69300,95.0,5,Manual,True,Murcia
BMW,X2,29500,Gasolina,2019.0,26300,,5,Automático,True,Málaga
MINI,MINI,6500,Gasolina,2007.0,130000,,5,Manual,False,Pontevedra
TOYOTA,CHR,20900,Híbrido,2017.0,85000,122.0,5,Automático,False,Madrid
FIAT,500C,12750,Gasolina,2019.0,25794,69.0,2,Automático,True,Baleares
VOLKSWAGEN,Transporter,3500,Diésel,2002.0,364000,,5,Manual,False,Madrid
BMW,Serie 3,20990,Diésel,2015.0,69000,190.0,5,Manual,True,Álava
AUDI,A4,5500,Diésel,2006.0,341000,140.0,5,Manual,True,Salamanca
BMW,Serie 5,3000,Gasolina,2001.0,220000,170.0,4,Manual,False,Barcelona
MINI,MINI,11000,Gasolina,2005.0,100000,,3,Manual,False,Lugo
AUDI,A1,22900,Gasolina,2019.0,21000,116.0,5,Manual,True,Barcelona
BMW,Serie 1,14250,Diésel,2016.0,85000,116.0,5,Manual,True,Sevilla
CITROEN,C5,10000,Diésel,2011.0,104000,140.0,5,Manual,True,Barcelona
MINI,Countryman,9500,Diésel,2011.0,155000,90.0,5,Manual,True,Madrid
MERCEDES-BENZ,Clase CLA,22950,Diésel,2017.0,103481,177.0,5,Automático,True,Barcelona
NISSAN,QASHQAI,28088,Gasolina,2020.0,10,160.0,5,Automático,True,Madrid
BMW,Serie 1,24500,Diésel,2019.0,13009,116.0,5,Manual,True,Orense
MITSUBISHI,Outlander,37400,Híbrido enchufable,2019.0,30000,224.0,5,Automático,True,Madrid
BMW,Serie 5,19900,Diésel,2015.0,120000,190.0,4,Automático,True,Murcia
NISSAN,PULSAR,11699,Diésel,2017.0,27232,110.0,5,Manual,True,Barcelona
VOLVO,V90,39895,Diésel,2020.0,7,190.0,5,Automático,True,Madrid
FIAT,Doblò Cargo,4537,Diésel,2013.0,162000,90.0,3,Manual,True,Madrid
MERCEDES-BENZ,Clase C,26500,Diésel,2016.0,59395,170.0,4,Automático,True,Barcelona
SEAT,León,11800,Diésel,2016.0,128000,150.0,5,Manual,True,Ciudad Real
NISSAN,JUKE,14000,Diésel,2015.0,50000,110.0,5,Manual,True,León
AUDI,A4,5500,Diésel,2006.0,330000,,4,Manual,False,Álava
PEUGEOT,Partner,1500,Diésel,2000.0,270000,,3,Manual,False,A Coruña
